nohup: ignoring input
INFO 2026-02-24 09:11:25,947 autoreload 56866 124455267594368 Watching for file changes with StatReloader
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
DEBUG 2026-02-24 09:18:20,017 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 43710]
DEBUG 2026-02-24 09:18:20,017 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 43710]
DEBUG 2026-02-24 09:18:20,017 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 43710]
INFO 2026-02-24 09:18:20,017 runserver 56866 124455196194496 HTTP GET /api/v1/users/me/ 200 [0.02, 127.0.0.1:43710]
DEBUG 2026-02-24 09:18:27,503 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 43724]
DEBUG 2026-02-24 09:18:27,503 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 43724]
DEBUG 2026-02-24 09:18:27,537 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 43728]
DEBUG 2026-02-24 09:18:27,537 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 43728]
DEBUG 2026-02-24 09:18:27,665 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 43724]
DEBUG 2026-02-24 09:18:27,665 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 43724]
DEBUG 2026-02-24 09:18:27,665 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 43724]
DEBUG 2026-02-24 09:18:27,665 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 43724]
DEBUG 2026-02-24 09:18:27,667 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 43724]
DEBUG 2026-02-24 09:18:27,667 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 43724]
INFO 2026-02-24 09:18:27,669 runserver 56866 124455196194496 HTTP GET /api/v1/assets/?page_size=8 200 [0.17, 127.0.0.1:43724]
DEBUG 2026-02-24 09:18:28,155 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 43728]
DEBUG 2026-02-24 09:18:28,155 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 43728]
DEBUG 2026-02-24 09:18:28,156 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 43728]
DEBUG 2026-02-24 09:18:28,156 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 43728]
DEBUG 2026-02-24 09:18:28,158 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 43728]
DEBUG 2026-02-24 09:18:28,158 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 43728]
INFO 2026-02-24 09:18:28,160 runserver 56866 124455196194496 HTTP GET /api/v1/rides/trips/ 200 [0.62, 127.0.0.1:43728]
DEBUG 2026-02-24 09:18:31,101 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 42906]
DEBUG 2026-02-24 09:18:31,101 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 42906]
DEBUG 2026-02-24 09:18:31,147 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 42906]
